food
veal 20101477*

veal 3356484

salt 17007041

salt 21528086

salt 16528133

salt 21160428

salt 21147719

salt 21081930

salt 20414933

salt 19569234

salt 18708389

salt 17273005

pepper  2394508

flour 15316829

egg 21048775

egg 19533390

egg 19491385

egg 19235035

egg 19216998

egg 16385566

egg 15668480

egg 12495467

egg 12411564

egg 11336471

bread 21699022

bread 21656162

bread 21098648

bread 20422906

bread 20414933

bread 20054718

bread 19328261

bread 19077568

bread 19004010

bread 18842615

pork 19954068

pork 18439078

pork 17623805*

pork 16132802*

pork 17273005

pork 16799882

pork 16679863*

pork 16550597*

pork 16332665*

pork 16204695

butter 19828509*

butter 19491385

butter 19093202

butter 20201272

butter 17582611

butter 17420611

butter 16990408

butter 16210722

butter 15987861

butter 15572295

tomatoes 21161822

tomatoes 19328261

tomatoes 17896586

tomatoes 17623560

tomatoes 17516859

tomatoes 17450530

tomatoes 17068094

tomatoes 17006725

tomatoes 16898861

tomatoes 16425091

lemon 11142088

lemon 21960262
lemon 21915615

lemon 20853322

lemon 20843123

lemon 20414933

lemon 19926998

lemon 19569234

lemon 19549811

lemon 19216998

duck 3349469

onion 20414933

onion 18986589

onion 17093154

onion 16284374

onion 16236005

onion 12195163

onion 11142084

onion 16172215

onion 15825170

onion 15036670

celery 17060488

celery 11860786

celery 10648274

celery 1917235

celery 2300492

celery 1255759

carrot 19358284

carrot 18092323

carrot 17060488

carrot 16227704

carrot 16172215

carrot 16127240

carrot 15546249

carrot 12949807

carrot 12671537

carrot 12243030

parsley 12925301

mace 18398033

sherry 19932648

sherry 17392700

sherry 15066924

olive 20947337

olive 12814996

olive 20422906

olive 20155613

olive 19828509

olive 17590100

olive 17018706

olive 16990408

olive 16512965

olive 15066921

mushroom 19048616

mushroom 18304686

mushroom 17943725

mushroom 16528133

mushroom 14690789

mushroom 9718219

mushroom 1333225

mushroom 20432168

tripe 10443952

milk 22071715

milk 21767080

milk 21660859*

milk 21558858

milk 21545194

milk 21080051

milk 20715171
milk 20414933

milk 20200427

milk 20197786

cheese 21198261

cheese 20947337

cheese 18842797

cheese 20201272

cheese 17058282

cheese 16306872

cheese 16721782

cheese 16596295

cheese 16425091

cheese 16385566

coffee 20512657

coffee 21562752

coffee 21545194

coffee 21075833

coffee 20844074

coffee 20715171

coffee 20680436

coffee 20571499

coffee 20570908

coffee 20559687

bacon 17554200

bacon 17450470

bacon 17093172

bacon 9037809

bacon 16492907

bacon 12948286

bacon 12946037

bacon 9486469

bacon 9051317

bacon 8833615

sugar 21558858*

sugar 20470973

sugar 20188004

sugar 20091114

sugar 19827870

sugar 19336549

sugar 19277880

sugar 18689380

sugar 18622463

sugar 18592382

lobster 8180577

potato 18614739

potato 21048775

potato 20736839

potato 20444952

potato 20414933

potato 20091114

potato 20026579

potato 18592382

potato 19328261

potato 18791920

beef 21359474

beef 20101477

beef 19827870

beef 19640186*

beef 15700302

beef 17106329

beef 12672638

beef 16678899

beef 12946037

beef 12672638

lamb 14737890

lamb 14674734
lamb 14648711

lamb 12040230

lamb 10528026

lamb 8162586

lamb 12195163

lamb 8026881

mustard 7960230

mustard 3349469

mustard 16523010

nut 21098648

nut 20188004

nut 19685491

nut 15466975

nut 12672637

nut 10578485

nut 7927941

nut 1429203

wine 21993435

wine 21714684

wine 21654257

wine 21403041

wine 21360045

wine 20952595

wine 20541936

wine 20396942

wine 19957334

wine 19932648

pea 21915615

pea 18092323

pea 9303371

corn 18584483

corn 18304686

corn 9886205

corn 8682610

corn 8318635

corn 8180577

corn 2714880

corn 8580304

corn 11437401

corn 9452260

cinnamon 18647433

cayenne 12195163

cayenne 20104974

cayenne 12800206

cayenne 12402311

cayenne 9130848

cayenne 8116601

orange 21915615

orange 16127240

orange 15561989

orange 12778065

orange 12195163

orange 8167267

tea 21856996

tea 21562752

tea 21545194

tea 21403521

tea 21315679

tea 21268129

tea 21240832

tea 21110141

tea 21104992

tea 20843123

rum 12746240

rum 9819462

raisin 9718219
egg 11914299

pork 19303221

butter 15677891

tomato 15006906

onion 21473867

milk 22137695

milk 21442197

milk 19116875

milk 18584476

milk 16052536

cheese 16492930

cheese 8353053

coffee 21448427

coffee 21406107

coffee 20943597

coffee 20453203

coffee 19114275

coffee 19110217

coffee 17484871

coffee 16680342

coffee 20590551

coffee 11142527

bacon 16882945

bacon 14533876

wine 21393120

wine 19064644

wine 18006934

wine 16495916

wine 2151680

tea 21403523

tea 20490647

tea 20453203

tea 19766982

tea 19437116

tea 19128856

tea 18364341
